Description,type,latitude,longitude
Punggol Stn,MRT,1.405191,103.902367
Cove Stn,LRT,1.399534,103.905792
Meridian Stn,LRT,1.397002,103.908884
Coral Edge Stn,LRT,1.39392,103.912633
Riviera Stn,LRT,1.39454,103.916056
Kadaloor Stn,LRT,1.399633,103.916536
Oasis Stn,LRT,1.402304,103.912736
Damai Stn,LRT,1.405293,103.908606
Sam Kee Stn,LRT,1.409808,103.90492
Teck Lee Stn,LRT,1.412783,103.906565
Punggol Point Stn,LRT,1.416932,103.90668
Samudera Stn,LRT,1.415955,103.902185
Nibong Stn,LRT,1.411865,103.900321
Sumang Stn,LRT,1.408501,103.898605
Soo Teck Stn,LRT,1.405436,103.897287
